ts,gx,gy,gz
2025-09-07T01:46:16.343+00:00,0.915527,-0.366211,-0.12207
2025-09-07T01:46:16.610+00:00,1.953125,-0.549316,-0.12207
2025-09-07T01:46:16.981+00:00,-3.356934,-0.305176,-0.244141
2025-09-07T01:46:17.240+00:00,-0.427246,-0.305176,-0.244141
2025-09-07T01:46:17.485+00:00,-4.577637,-0.366211,-0.244141
2025-09-07T01:46:17.726+00:00,-1.708984,-0.366211,-0.12207
2025-09-07T01:46:17.981+00:00,-0.915527,-0.244141,-0.12207
2025-09-07T01:46:18.221+00:00,-2.624512,-0.305176,-0.244141
2025-09-07T01:46:18.469+00:00,-1.037598,-0.366211,-0.183105
2025-09-07T01:46:18.743+00:00,-0.244141,-0.366211,-0.12207
2025-09-07T01:46:19.002+00:00,2.563477,-0.366211,-0.183105
2025-09-07T01:46:19.271+00:00,3.845215,-0.427246,-0.244141
2025-09-07T01:46:19.526+00:00,2.929688,-0.427246,-0.183105
2025-09-07T01:46:19.782+00:00,2.13623,-0.366211,-0.12207
2025-09-07T01:46:20.044+00:00,-3.295898,-0.305176,-0.183105
2025-09-07T01:46:20.293+00:00,-5.432129,-0.244141,-0.244141
2025-09-07T01:46:20.547+00:00,-5.981445,-0.244141,-0.183105
2025-09-07T01:46:20.793+00:00,-1.525879,-0.427246,-0.183105
2025-09-07T01:46:21.046+00:00,0.854492,-0.366211,-0.183105
2025-09-07T01:46:21.319+00:00,3.601074,-0.427246,-0.183105
2025-09-07T01:46:21.572+00:00,4.333496,-0.427246,-0.183105
2025-09-07T01:46:21.881+00:00,1.159668,-0.366211,-0.12207
2025-09-07T01:46:22.145+00:00,1.647949,-0.427246,-0.183105
2025-09-07T01:46:22.403+00:00,-4.394531,-0.305176,-0.183105
2025-09-07T01:46:22.652+00:00,1.403809,-0.488281,-0.183105
2025-09-07T01:46:22.905+00:00,-3.540039,-0.183105,-0.305176
2025-09-07T01:46:23.159+00:00,0.549316,-0.366211,-0.183105
2025-09-07T01:46:23.399+00:00,-2.319336,-0.305176,-0.183105
2025-09-07T01:46:23.648+00:00,-3.417969,-0.305176,-0.183105
2025-09-07T01:46:23.892+00:00,-2.319336,-0.366211,-0.183105
2025-09-07T01:46:24.153+00:00,-1.159668,-0.366211,-0.183105
2025-09-07T01:46:24.474+00:00,1.708984,-0.366211,-0.12207
2025-09-07T01:46:24.725+00:00,5.371094,-0.488281,-0.12207
2025-09-07T01:46:24.969+00:00,2.990723,-0.366211,-0.183105
2025-09-07T01:46:25.218+00:00,4.150391,-0.488281,-0.12207
2025-09-07T01:46:25.457+00:00,-2.624512,-0.305176,-0.183105
2025-09-07T01:46:25.720+00:00,-3.417969,-0.244141,-0.183105
2025-09-07T01:46:26.026+00:00,-6.774902,-0.244141,-0.244141
2025-09-07T01:46:26.285+00:00,-5.249023,-0.305176,-0.244141
2025-09-07T01:46:26.543+00:00,-0.549316,-0.366211,-0.061035
2025-09-07T01:46:26.781+00:00,2.441406,-0.427246,-0.12207
2025-09-07T01:46:27.038+00:00,3.479004,-0.427246,-0.183105
2025-09-07T01:46:27.292+00:00,3.479004,-0.427246,-0.183105
2025-09-07T01:46:27.572+00:00,1.647949,-0.427246,-0.12207
2025-09-07T01:46:27.818+00:00,0.610352,-0.366211,-0.183105
2025-09-07T01:46:28.072+00:00,-2.258301,-0.305176,-0.244141
2025-09-07T01:46:28.324+00:00,-2.319336,-0.305176,-0.183105
2025-09-07T01:46:28.568+00:00,-3.051758,-0.305176,-0.183105
2025-09-07T01:46:28.818+00:00,-2.319336,-0.366211,-0.12207
2025-09-07T01:46:29.065+00:00,-2.441406,-0.305176,-0.183105
2025-09-07T01:46:29.317+00:00,-1.281738,-0.366211,-0.183105
2025-09-07T01:46:29.578+00:00,1.220703,-0.366211,-0.12207
2025-09-07T01:46:29.827+00:00,2.624512,-0.366211,-0.183105
2025-09-07T01:46:30.093+00:00,2.868652,-0.366211,-0.183105
2025-09-07T01:46:30.356+00:00,1.831055,-0.366211,-0.183105
